,Unnamed: 0,urls,restaurants,stars
62,2018-05-22T15:09:27+0000,https://www.nytimes.com/2018/05/22/dining/wokuni-sushi-japanese-restaurant.html,wokuni sushi japanese ,1
63,2015-09-29T16:30:57+0000,https://www.nytimes.com/2015/09/30/dining/restaurant-review-houseman-in-hudson-square.html, houseman in hudson square,2
64,2014-09-02T20:55:21+0000,https://www.nytimes.com/2014/09/03/dining/restaurant-review-bar-primi-in-the-east-village.html, bar primi in the east village,2
65,2014-03-18T20:58:53+0000,https://www.nytimes.com/2014/03/19/dining/restaurant-review-rotisserie-georgette-on-the-upper-east-side.html, rotisserie georgette on the upper east side,2
66,2017-11-07T17:04:03+0000,https://www.nytimes.com/2017/11/07/dining/sen-sakana-review-peruvian-food-nikkei.html,sen sakana peruvian food nikkei,1
67,2014-01-21T21:59:10+0000,https://www.nytimes.com/2014/01/22/dining/restaurant-review-han-dynasty-in-the-east-village-and-hirohisa-in-soho.html, han dynasty in the east village and hirohisa in soho,1
68,2017-02-21T17:42:18+0000,https://www.nytimes.com/2017/02/21/dining/sahib-review-indian-restaurant-nyc.html,sahib indian  nyc,2
69,2018-07-03T15:49:42+0000,https://www.nytimes.com/2018/07/03/dining/restaurant-nippon-review.html, nippon,1
70,2012-11-08T22:30:03+0000,https://www.nytimes.com/2012/11/14/dining/reviews/wines-that-make-friends-easily-at-a-crowded-thanksgiving-table.html,wines that make friends easily at a crowded thanksgiving table,0
71,2013-11-26T20:56:26+0000,https://www.nytimes.com/2013/11/27/dining/reviews/restaurant-review-somtum-der-in-the-east-village.html, somtum der in the east village,1
72,2017-03-28T16:57:54+0000,https://www.nytimes.com/2017/03/28/dining/augustine-review-french-food-nyc-keith-mcnally.html,augustine french food nyc keith mcnally,1
73,2016-12-27T20:24:34+0000,https://www.nytimes.com/2016/12/27/dining/the-odeon-review.html,the odeon,1
74,2016-11-22T19:00:01+0000,https://www.nytimes.com/2016/11/22/dining/fish-cheeks-review-restaurant-noho.html,fish cheeks  noho,1
75,2016-09-13T19:29:18+0000,https://www.nytimes.com/2016/09/14/dining/hao-noodle-and-tea-by-madam-zhus-kitchen-review.html,hao noodle and tea by madam zhus kitchen,2
76,2018-05-15T15:04:01+0000,https://www.nytimes.com/2018/05/15/dining/simon-and-the-whale-restaurant-review-flatiron.html,simon and the whale  flatiron,2
77,2015-07-21T16:35:51+0000,https://www.nytimes.com/2015/07/22/dining/restaurant-review-lupulo-in-chelsea.html, lupulo in chelsea,2
78,2012-04-10T21:36:51+0000,https://www.nytimes.com/2012/04/11/dining/reviews/kyo-ya-nyc-restaurant-review.html,kyo ya nyc ,0
79,2016-10-04T16:47:16+0000,https://www.nytimes.com/2016/10/05/dining/carla-hall-southern-kitchen-review.html,carla hall southern kitchen,1
80,2016-03-15T15:37:12+0000,https://www.nytimes.com/2016/03/16/dining/insa-restaurant-review.html,insa ,2
81,2016-02-23T16:39:31+0000,https://www.nytimes.com/2016/02/24/dining/little-pepper-review.html,little pepper,2
82,2017-05-22T18:02:43+0000,https://www.nytimes.com/2017/05/22/dining/italienne-review-restaurant-jared-sippel.html,italienne  jared sippel,1
83,2015-05-26T18:06:04+0000,https://www.nytimes.com/2015/05/27/dining/restaurant-review-aquavit-in-midtown.html, aquavit in midtown,3
84,2015-05-19T16:06:12+0000,https://www.nytimes.com/2015/05/20/dining/restaurant-review-javelina-in-gramercy-park.html, javelina in gramercy park,0
85,2013-07-30T20:46:03+0000,https://www.nytimes.com/2013/07/31/dining/reviews/restaurant-review-abc-cocina-in-manhattan.html, abc cocina in manhattan,2
86,2017-09-19T15:59:59+0000,https://www.nytimes.com/2017/09/19/dining/prune-review.html,prune,2
87,2016-02-16T16:24:53+0000,https://www.nytimes.com/2016/02/17/dining/pizza-moto-review.html,pizza moto,1
88,2019-01-15T16:36:49+0000,https://www.nytimes.com/2019/01/15/dining/benno-restaurant-review.html,benno ,3
89,2017-05-09T16:16:54+0000,https://www.nytimes.com/2017/05/09/dining/atoboy-review-korean-restaurant-nyc.html,atoboy korean  nyc,2
90,2018-02-13T17:24:12+0000,https://www.nytimes.com/2018/02/13/dining/hwa-yuan-szechuan-review-chinese-food.html,hwa yuan szechuan chinese food,2
91,2016-03-22T15:27:47+0000,https://www.nytimes.com/2016/03/23/dining/lowlife-restaurant-review.html,lowlife ,1
92,2019-03-12T15:22:28+0000,https://www.nytimes.com/2019/03/12/dining/cka-ka-qellu-review.html,cka ka qellu,2
93,2015-12-01T17:02:26+0000,https://www.nytimes.com/2015/12/02/dining/vaucluse-review.html,vaucluse,1
94,2018-11-27T16:20:51+0000,https://www.nytimes.com/2018/11/27/dining/saint-julivert-fisherie-review.html,saint julivert fisherie,1
95,2014-04-01T17:58:44+0000,https://www.nytimes.com/2014/04/02/dining/restaurant-review-the-peacock-and-the-shakespeare-in-midtown.html, the peacock and the shakespeare in midtown,1
96,2014-03-11T20:59:13+0000,https://www.nytimes.com/2014/03/12/dining/restaurant-review-contra-on-the-lower-east-side.html, contra ,2
97,2016-06-14T16:42:31+0000,https://www.nytimes.com/2016/06/15/dining/le-coq-rico-review.html,le coq rico,2
98,2017-07-25T16:18:43+0000,https://www.nytimes.com/2017/07/25/dining/atla-review-mexican-restaurant-noho.html,atla mexican  noho,2
99,2016-09-20T15:57:07+0000,https://www.nytimes.com/2016/09/21/dining/gunter-seeger-ny-review.html,gunter seeger ny,2
100,2016-08-09T15:44:18+0000,https://www.nytimes.com/2016/08/10/dining/olmsted-restaurant-review.html,olmsted ,2
101,2016-07-12T14:56:43+0000,https://www.nytimes.com/2016/07/13/dining/mimi-restaurant-review.html,mimi ,1
102,2016-06-28T15:57:16+0000,https://www.nytimes.com/2016/06/29/dining/freeks-mill-review.html,freeks mill,2
103,2015-02-17T18:00:00+0000,https://www.nytimes.com/2015/02/18/dining/restaurant-review-shuko-in-the-east-village.html, shuko in the east village,3
104,2015-12-22T18:39:31+0000,https://www.nytimes.com/2015/12/23/dining/wassail-review.html,wassail,1
105,2015-10-20T17:47:43+0000,https://www.nytimes.com/2015/10/21/dining/restaurant-review-bruno-east-village.html, bruno east village,0
106,2014-03-25T17:59:18+0000,https://www.nytimes.com/2014/03/26/dining/restaurant-review-allonda-in-greenwich-village.html, allonda in greenwich village,2
107,2013-11-05T21:59:09+0000,https://www.nytimes.com/2013/11/06/dining/reviews/restaurant-review-quality-italian-in-midtown.html, quality italian in midtown,1
108,2013-06-25T19:26:18+0000,https://www.nytimes.com/2013/06/26/dining/reviews/restaurant-review-lafayette-in-noho.html, lafayette in noho,1
109,2014-04-22T18:34:17+0000,https://www.nytimes.com/2014/04/23/dining/restaurant-review-telepan-local-in-tribeca.html, telepan local in tribeca,1
110,2013-12-31T20:10:39+0000,https://www.nytimes.com/2014/01/01/dining/reviews/restaurant-review-toro.html, toro,2
111,2018-11-13T17:27:22+0000,https://www.nytimes.com/2018/11/13/dining/misi-restaurant-review.html,misi ,3
112,2017-08-08T15:38:46+0000,https://www.nytimes.com/2017/08/08/dining/nur-review-middle-eastern-restaurant.html,nur middle eastern ,2
113,2016-11-15T17:20:19+0000,https://www.nytimes.com/2016/11/16/dining/tsurutontan-udon-noodle-brasserie-restaurant-review.html,tsurutontan udon noodle brasserie ,1
114,2015-05-12T16:31:06+0000,https://www.nytimes.com/2015/05/13/dining/restaurant-review-fung-tu-on-the-lower-east-side.html, fung tu ,2
115,2013-12-03T21:33:45+0000,https://www.nytimes.com/2013/12/04/dining/reviews/restaurant-review-charlie-bird-in-soho.html, charlie bird in soho,1
116,2017-11-14T16:50:32+0000,https://www.nytimes.com/2017/11/14/dining/cote-review-korean-barbecue.html,cote korean barbecue,2
117,2018-10-09T16:15:26+0000,https://www.nytimes.com/2018/10/09/dining/manhatta-restaurant-review.html,manhatta ,1
